Index,Open,High,Low,Close,Volume
2069/12/8,457,457,452,454.5,17955
2069/12/9,449.5,466,447.5,464.5,74255
2069/12/10,466,466,457,459.75,52610
2069/12/11,459,460,454,455.5,34965
2069/12/12,454.5,457.5,452.5,456.25,29860
2069/12/13,456.5,460.5,453.25,458.5,36730
2069/12/14,457,467.5,455,465,64080
2069/12/15,465,465.75,461,464,35075
2069/12/16,464,465.5,453,455,63770
2069/12/17,455,458.25,451,456,56485
2069/12/18,456,459,452,453.25,33005
2069/12/19,452.5,459,448.5,452.25,60885
2069/12/20,450,451.5,446,447.25,54085
2069/12/21,446.5,449,439.5,446,67680
2069/12/22,447,447,440,442.5,45215
2069/12/23,449.5,453.5,448,452.75,56755
2069/12/24,437,437.5,430.5,434.5,76295
2069/12/25,436,436,423.5,424,68070
2069/12/26,422,422,412,417,87970
2069/12/27,417,422.5,417,418.5,46265
2069/12/28,417,425,414.5,424.25,70125
2069/12/29,425,426.5,415.5,416.75,66880
2069/12/30,416,425,415.5,421,42065
2069/12/31,419.5,428.5,417.5,426.5,43900
2070/1/1,425,433.5,425,429.5,61790
2070/1/2,429.5,432.5,427,429.5,35275
2070/1/3,429,433.5,427,429.25,42830
2070/1/4,429.5,432,428,431.5,38170
2070/1/5,430,436.5,425,436,76610
2070/1/6,435,438,432,433.75,54585
2070/1/7,434.5,439,421.5,422.5,69945
2070/1/8,423.5,425,417,420,66210
2070/1/9,420.5,423,413.5,421,58420
2070/1/10,421.75,423.5,418.5,422.5,27795
2070/1/11,423,429,419.5,428.5,48205
2070/1/12,429.5,432.5,425,427,40440
2070/1/13,427.5,428.5,422.5,424,33920
2070/1/14,423.5,430,419.5,424.5,61325
2070/1/15,430.25,433,421,421.75,57150
2070/1/16,420.75,424,417,417.25,55550
2070/1/17,417,417.5,409,411,81780
2070/1/18,408,413,402.5,404.75,66210
2070/1/19,404.5,406,400,400.5,51015
2070/1/20,400,401.5,392,399.5,70440
2070/1/21,396,396,391,394,25500
2070/1/22,384,387,381.5,384.25,33965
2070/1/23,384.5,396,384,395,62820
2070/1/24,396.75,402.5,388,388.5,83225
2070/1/25,388,392.5,386,390,52200
2070/1/26,396.5,401,391,392.25,59750
2070/1/27,394,395.5,386.5,390.5,52210
2070/1/28,390.25,391,383.5,384.25,35055
2070/1/29,379,380,374.5,377.25,34255
2070/1/30,376.5,377,371,372,57955
2070/1/31,371,377.5,369,370.25,55475
2070/2/1,370.5,376,366.5,375.5,43305
2070/2/2,376.5,382,374.5,379.75,40630
2070/2/3,379,380,373.75,374.25,29305
2070/2/4,373.5,381.5,373,379.25,48695
2070/2/5,379,386,379,382.75,54050
2070/2/6,384,391,383.5,388.25,60355
2070/2/7,389.5,391.25,386.75,389,46130
2070/2/8,390,396.5,388.75,396,41020
2070/2/9,396.5,397.5,391,394.25,37270
2070/2/10,394.5,410.5,394.5,400.75,118305
2070/2/11,400,406,398,400.25,54270
2070/2/12,400,400,392,393.25,42895
2070/2/13,393,393,389.5,390.5,26105
2070/2/14,390.5,392.5,386.5,391.75,14915
2070/2/15,394,396,389,389.5,16590
2070/2/16,388.75,389,381.5,382,37320
2070/2/17,381.5,386,380.25,381.25,22685
2070/2/18,389.5,391,383,384,33335
2070/2/19,385.5,394.5,384.25,388.5,49575
2070/2/20,388,393,387,392.5,34485
2070/2/21,393.5,397.5,393.5,395,39180
2070/2/22,394,395,388,389.25,43775
2070/2/23,389,399.75,385.5,387,81125
2070/2/24,388,391.5,384,391,52750
2070/2/25,391,392,387,388,37345
2070/2/26,388,391,386,390.25,34400
2070/2/27,390,390.5,382.5,387.25,56135
2070/2/28,388.25,388.25,379.25,380.5,51420
2070/3/1,377,382.75,375,382.25,45190
2070/3/2,382,385,378.5,379.25,36690
2070/3/3,379,379.5,374,375.75,46650
2070/3/4,376,379.5,374.5,375,22945
2070/3/5,375.5,376,371,371.5,29935
2070/3/6,372,374.5,371.25,373,28230
2070/3/7,373.25,375.5,370,370.25,36335
2070/3/8,370,373.5,370,370.25,23745
2070/3/9,370.5,370.5,357,359.75,87615
2070/3/10,358.5,363,357,361.5,48990
2070/3/11,362.5,362.5,356.5,357.75,42820
2070/3/12,357,362,356,361.5,36645
2070/3/13,363.5,365.25,357,358,39250
2070/3/14,357.75,358,354.5,356,37500
2070/3/15,358,360.5,352,352.5,40655
2070/3/16,352.5,363,351,362,68005
2070/3/17,362,365.5,354,357.25,57605
2070/3/18,357,363,356,359,41495
2070/3/19,359,362,357,359.5,23185
2070/3/20,361.5,370,361.5,364.25,38595
2070/3/21,364,368,358.5,359.5,35535
2070/3/22,356.5,364,356.5,363.25,23535
2070/3/23,364.25,375,361,374,37540
2070/3/24,373,379,371,373.75,46845
2070/3/25,373.75,378,368,377,31550
2070/3/26,375.5,382,372.5,372.75,40630
2070/3/27,372,378,372,374.25,42515
2070/3/28,373,376.5,368,375.25,29410
2070/3/29,374.5,382,373.5,377,34520
2070/3/30,377,384,367.5,370,42145
2070/3/31,370.5,374.5,366,369,35995
2070/4/1,370,376.5,369,375,30510
2070/4/2,376,382,370,375.5,38200
2070/4/3,376,381.5,372,379.25,19305
2070/4/4,380.5,383,373,382,21940
2070/4/5,382.5,390,378,379,51960
2070/4/6,380,380,372,378,31290
2070/4/7,378,393,378,387,31910
2070/4/8,388,391,380,381,24280
2070/4/9,381,385,379,383.75,18720
2070/4/10,384.25,392,382.5,391,15910
2070/4/11,391,403,390.25,397.5,45135
2070/4/12,394.5,396,387,390,26770
2070/4/13,390,390,385,386.5,17400
2070/4/14,386.25,391,386.25,389.5,13880
2070/4/15,389.5,397.5,389.25,395.5,23460
2070/4/16,396,402.5,396,401.75,19540
2070/4/17,401.5,408,396,397.5,25955
2070/4/18,397.5,407,392.5,393.75,26770
2070/4/19,393,393.5,386,388.5,31685
2070/4/20,389,389,372,375,36125
2070/4/21,375,378,368,371.75,40780
2070/4/22,373.25,382.25,373.25,380.5,29515
2070/4/23,381.75,388,381,382,35860
2070/4/24,384.25,388,381,385.5,26925
2070/4/25,386,394,386,393,31030
2070/4/26,394,409.5,391,403,37715
2070/4/27,411.25,423,411.25,423,10755
2070/4/28,435,435,413.5,415.75,31540
2070/4/29,416,416.25,406,406.75,22970
2070/4/30,415,435.5,414,431,90965
2070/5/1,430,447,426,444.5,111785
2070/5/2,447.5,459,440,447.25,109750
2070/5/3,450,452,437,447,76095
2070/5/4,448,451,435,435.75,74060
2070/5/5,435.5,440,425,425.75,127680
2070/5/6,425.25,435,424,432.25,65685
2070/5/7,428,429.5,419,421.25,85995
2070/5/8,421,425.75,416.5,423,74385
2070/5/9,424.5,434.5,424.25,433.5,77750
2070/5/10,433.75,435,424,425,68515
2070/5/11,423.5,426,416,416.5,89600
2070/5/12,415,419.5,410,411.25,87355
2070/5/13,410,410,402,402.5,111255
2070/5/14,403,410,403,404.25,58305
2070/5/15,404.75,412,401.5,409,74690
2070/5/16,410.5,415,410,413.75,43850
